Player,Nation,Pos,Age,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK
Brandon Mechele,be BEL,DF,32.0,39,39.0,3433.0,38.1,5.0,2.0,7.0,5.0,0.0,0.0,4.0,0.0,0.13,0.05,0.18,0.13,0.18
Hans Vanaken,be BEL,MF,32.0,39,38.0,3364.0,37.4,7.0,3.0,10.0,7.0,0.0,0.0,2.0,0.0,0.19,0.08,0.27,0.19,0.27
Joaquin Seys,be BEL,DF,20.0,39,35.0,2966.0,33.0,2.0,5.0,7.0,2.0,0.0,0.0,3.0,0.0,0.06,0.15,0.21,0.06,0.21
Aleksandar Stanković,rs SRB,MF,19.0,39,34.0,3071.0,34.1,6.0,2.0,8.0,6.0,0.0,0.0,4.0,0.0,0.18,0.06,0.23,0.18,0.23
Christos Tzolis,gr GRE,"MF,FW",23.0,36,34.0,3068.0,34.1,17.0,23.0,40.0,14.0,3.0,4.0,6.0,0.0,0.5,0.67,1.17,0.41,1.09
Carlos Forbs,pt POR,MF,21.0,37,34.0,2794.0,31.0,8.0,8.0,16.0,8.0,0.0,0.0,3.0,0.0,0.26,0.26,0.52,0.26,0.52
Joel Ordóñez,ec ECU,DF,21.0,33,30.0,2666.0,29.6,3.0,0.0,3.0,3.0,0.0,0.0,4.0,2.0,0.1,0.0,0.1,0.1,0.1
Nicolo Tresoldi,de GER,FW,20.0,40,29.0,2488.0,27.6,19.0,5.0,24.0,19.0,0.0,0.0,1.0,0.0,0.69,0.18,0.87,0.69,0.87
Raphael Onyedika,ng NGA,MF,24.0,30,22.0,1994.0,22.2,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.05,0.0,0.05,0.05,0.05
Nordin Jackers,be BEL,GK,27.0,21,20.0,1801.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Kyriani Sabbe,be BEL,DF,20.0,27,20.0,1643.0,18.3,3.0,3.0,6.0,3.0,0.0,0.0,2.0,0.0,0.16,0.16,0.33,0.16,0.33
Hugo Vetlesen,no NOR,"MF,FW",25.0,25,15.0,1289.0,14.3,5.0,6.0,11.0,5.0,0.0,0.0,4.0,0.0,0.35,0.42,0.77,0.35,0.77
