Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK
1,Adnane Abid,be BEL,"MF,FW",Standard Liège,21,2003,34,26,2107,23.4,2,5,7,2,0,0,5,1,0.09,0.21,0.30,0.09,0.30
2,Orseer Achihi,ng NGA,FW,Antwerp,18,2006,2,0,14,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
3,Desmond Acquah,be BEL,"MF,FW",Dender,23,2002,11,2,243,2.7,0,1,1,0,0,0,1,0,0.00,0.37,0.37,0.00,0.37
4,Noah Adedeji,be BEL,MF,Genk,20,2005,25,12,1028,11.4,1,1,2,1,0,0,0,0,0.09,0.09,0.18,0.09,0.18
5,Farouck Adekami,ci CIV,"MF,FW",Antwerp,18,2006,21,12,1139,12.7,2,2,4,2,0,1,7,0,0.16,0.16,0.32,0.16,0.32
6,Oluwaseun Adewumi,at AUT,"FW,MF",Cercle Brugge,20,2005,32,16,1591,17.7,5,0,5,5,0,0,2,0,0.28,0.00,0.28,0.28,0.28
7,Ryan Adewusi,be BEL,FW,Dender,20,2005,1,0,24,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
8,Mohammed El Âdfaoui,be BEL,MF,Gent,17,2008,4,0,68,0.8,0,1,1,0,0,0,0,0,0.00,1.32,1.32,0.00,1.32
9,Jerry Afriyie,gh GHA,FW,La Louvière,18,2006,31,29,2486,27.6,5,1,6,5,0,0,7,0,0.18,0.04,0.22,0.18,0.22
10,Lawrence Agyekum,gh GHA,MF,Cercle Brugge,21,2003,29,25,1877,20.9,0,2,2,0,0,0,5,0,0.00,0.10,0.10,0.00,0.10
11,Jules Ahoka,cd COD,DF,Antwerp,19,2006,2,1,99,1.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
12,Marley Aké,fr FRA,"MF,FW",Zulte Waregem,24,2001,30,16,1749,19.4,8,0,8,8,0,0,1,0,0.41,0.00,0.41,0.41,0.41
13,Takahiro Akimoto,jp JPN,"DF,MF",OH Leuven,27,1998,31,30,2711,30.1,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00
14,Josimar Alcocer,cr CRC,MF,Westerlo,21,2004,35,33,2703,30.0,3,4,7,3,0,0,6,0,0.10,0.13,0.23,0.10,0.23
15,Mathys Angély,fr FRA,DF,Anderlecht,18,2007,4,3,280,3.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
16,Nilson Angulo,ec ECU,MF,Anderlecht,22,2003,22,22,1894,21.0,6,5,11,6,0,0,4,1,0.29,0.24,0.52,0.29,0.52
